@@,item,itemlabel,position,positionlabel,startdate,enddate,psid
->,Q7299001,Raymond Mboulou->Raymond Zéphirin Mboulou,Q112320686,Minister of Interior->Ministre de la Sécurité et de l’Ordre Public,2017-08-22,,Q7299001-D5376067-EAE1-4178-AEBB-6D9DE1A19198
->,Q7192339,Pierre Mabiala,Q112320690,Minister of Land->Ministre d'Etat des Affaires foncières et du Domaine public,2017-08-22,,Q7192339-008C1F91-724F-4CDE-A4BB-CC1C46CB254D
->,Q6169352,Jean-Jacques Bouya,Q112320702,Minister of Regional Planning->Ministre de l’Aménagement du territoire des infrastructures et de l’entretien routier,2012-09-25,,Q6169352-554AEABB-EA91-4A4E-8991-9E7BA93B9AA9
->,Q59676765,Dieudonné Moyongo->Dieudonné Mouyongo,Q112315782,Minister of Culture and Arts->Ministre de la Culture et des Arts,2017-08-22,,Q59676765-7D9704F5-63DF-40F9-AA3C-E110538C53C9
->,Q57464277,Nicéphore Fylla de Saint-Eudes,Q112320669,Minister of Education->Ministre du développement Industriel et de la promotion du secteur privé,2016-04-30,,Q57464277-B3CADC4D-23D1-4A44-AEE6-AD703FE1B0DC
->,Q55807584,Josué Rodrigue Ngouonimba,Q112320662,"Minister of Construction->Ministre de la Construction, de l’Urbanisme et de l’Habitat",2017-08-22,,Q55807584-20E6607E-05FE-42AD-A868-56C016EB5310
->,Q5452128,Firmin Ayessa,Q112320732,"Vice-Prime Minister->Ministre d'Etat de la fonction publique, du travail et de la sécurité sociale",2017-08-22,,Q5452128-9B8BB2E3-57B9-41AE-9942-6E92DADF8D63
->,Q5128679,Claude Alphonse Nsilou,Q112320660,"Minister of Commerce->Ministre d'Etat du Commerce, des Approvisionnements et de la Consommation",2017-08-22,,Q5128679-3BA3C8EF-5A6E-42F0-851F-EE2528EA86AC
->,Q5082018,Charles Richard Mondjo,Q112320695,Minister of National Defence->Ministre de la Défense nationale,2012-09-25,,Q5082018-76A79DDA-D4BF-4136-852D-F0E70F849D8E
->,Q50379869,Aimé Ange Wilfrid Bininga,Q112320688,"Minister of Justice->Ministre de la Justice, des Droits humains et de la Promotion des peuples autochtones",2017-08-22,,Q50379869-147FD2FF-EB15-4553-B6E2-CB0C3936D543
->,Q4979263,Bruno Itoua,Q112320677,Minister of Higher Education->Ministre des Hydrocarbures,2016-04-30,,Q4979263-562799E0-D5EC-4DB8-ADD2-182B12C3A030
->,Q48778190,Destinée Ermela Doukaga->Destinée Doukaga,Q112320657,Minister of Civic Education->Ministre du Tourisme et des loisirs,2016-04-30,,Q48778190-B1BC49C8-8128-43D1-9A67-F9AC1CA781F7
->,Q40770924,Léon Juste Ibombo,Q112320698,"Minister of Posts and Telecommunications->Ministre des Postes, des Télécommunications et de l’Économie numérique",2016-04-30,,Q40770924-9CDD3709-0E85-4FDC-B605-13324A15867A
->,Q3386464,Pierre Oba,Q112320693,Minister of Mines->Ministre d'Etat des Industries minières et de la Géologie,2005-01-07,,Q3386464-078570BE-196F-4238-8436-3A7031E6632E
->,Q33026718,Gilbert Mokoki,Q112320711,Minister of Special Economic Zones->Ministre de la Santé et de la Population,2017-08-22,,Q33026718-3D53D8B1-EAD7-407F-88AC-97283D9DF776
->,Q3142653,Hugues Ngouelondélé->Hugues Ngouélondélé,Q112320713,"Minister of Sports->Ministre de la jeunesse et des Sports et de l’Éducation civique, de la formation qualifiante et de l’emploi",2017-08-22,,Q3142653-F597FBAB-2DFA-406C-9D5D-761E0C4F0CB0
->,Q26689539,Jean-Marc Thystère-Tchicaya,Q112320678,"Minister of Hydrocarbons->Ministre des transports, de l’Aviation civile et de la marine marchande",2015-08-11,,Q26689539-F6D3A606-1204-4577-AD0D-6CECE1AF5F47
->,Q26254130,Arlette Soudan-Nonault,Q112320720,Minister of Tourism->Ministre de l’Environnement du Développement durable et du Bassin du Congo,2017-08-22,,Q26254130-28CC4716-9C8D-48A3-99D8-53EED00E6FE7
->,Q26237842,Ingrid Ebouka-Babackas,Q112320696,"Minister of Planning->Ministre de l’Économie, du plan de la statistique et de l’intégration régionale",2017-08-22,,Q26237842-F70B0779-C7DD-4C98-8CE2-5DAC811DB9E9
->,Q24176158,Rosalie Matondo,Q112320675,Minister of Forestry->Ministre de l’Économie forestière,2017-08-22,,Q24176158-DF1EA18F-74C6-4ACD-B78D-E5250B2776CC
->,Q24175564,Jacqueline Lydia Mikolo,Q98966140,"Health minister of the Republic of the Congo->Ministre des Petites et moyennes entreprises, de l’Artisanat et du Secteur informel",2017-08-22,,Q24175564-07324758-51F6-4AA4-BEA8-54676BB31A39
->,Q24147892,Emile Ouosso->Émile Ouosso,Q112320672,Minister of Equipment->Ministre des Zones économiques spéciales et de la diversification économique,2017-08-22,,Q24147892-F3C42062-B36B-41CB-81CE-B75895ED03A8
->,Q19819308,Thierry Moungalla,Q112320661,Minister of Communications->Ministre de la Communication et des Médias Porte-parole du Gouvernement,2015-08-11,,Q19819308-2F9EBD1C-A8E8-4EC2-A122-F27ED7DD25E9
->,Q15046890,Jean-Claude Gakosso,Q18204385,"Minister of Foreign Affairs of the Republic of Congo->Ministre des Affaires étrangères, de la Francophonie et des Congolais de l’étranger",2015-08-10,,Q15046890-AFF1695D-CF00-4E72-A6FE-8938CD193B1C
---,Q61415246,Antoinette Dinga-Dzondo,Q112320708,Minister of Social Affairs,2016-04-30,,Q61415246-185F4A2D-AE10-487F-819F-A275131FA60B
---,Q57418,Denis Sassou-Nguesso,Q10353660,President of the Republic of the Congo,1997-10-25,,Q57418-72740888-9C7D-4811-B6A6-DCD7827507B5
---,Q5715430,Henri Djombo,Q112320656,Minister of Agriculture,2016-04-30,,Q5715430-DF33ABB6-8740-4EC6-BF4B-6B2F1BED7C04
---,Q5561139,Gilbert Ondongo,Q112320668,Minister of Economy,2017-08-22,,Q5561139-A0C247F6-2728-42A6-83F5-EC72F65BFFBA
---,Q5460873,Florent Ntsiba,Q112320731,Minister without Portfolio,2017-08-22,,Q5460873-437FBBA9-553B-47C6-ACCD-B9BD30B50DD5
---,Q5446833,Fidèle Dimou,Q112320723,Minister of Transport,2017-08-22,,Q5446833-214ACAC5-8204-4C39-B84F-98B79F6F857F
---,Q4752077,Anatole Collinet Makosso,Q30101451,Prime Minister of the Republic of the Congo,2021-05-12,,Q4752077-9939675A-D768-4B24-8B21-EFEA85FD322B
---,Q4752077,Anatole Collinet Makosso,Q112320669,Minister of Education,2015-08-11,,Q4752077-C4EF07FF-3919-49FC-BADF-2E17D236B90C
---,Q4686987,Adélaïde Moundélé-Ngollo,Q112320707,Minister of Small and Medium Enterprises and Handicrafts,2007-12-30,,Q4686987-3A533C50-A061-49DF-93EC-50FEF1F129FE
---,Q3295579,Martin Parfait Aimé Coussoud-Mavoungou,Q112320703,Minister of Scientific Research,2017-08-22,2022-03-14,Q3295579-CD397191-1F03-466E-BBBF-C611B1B33CC3
---,Q26266432,Serge Blaise Zoniaba,Q112320671,Minister of Energy,2016-04-30,,Q26266432-5D909BE0-28F3-4DBE-BCA8-BC0205441449
---,Q24150698,Calixte Ganongo,Q112320673,Minister of Finance,2017-08-22,,Q24150698-DDF9B6F0-FECB-4CB0-9617-99A2A50EAD5B
+++,Q63442291,Luc-Joseph Okio,,"Ministre délégué auprès du Premier Ministre, chargé de la réforme de l’Etat",,,
+++,Q61600532,Inès Nefer Ingani,,Ministre de la Promotion de la femme et de l’Intégration de la femme au développement,,,
+++,Q4752077,Anatole Collinet Makosso,,"Premier ministre, Chef du gouvernement",,,
+++,Q3022596,Denis Christel Sassou Nguesso,,Ministre de la Coopération Internationale et de la promotion du partenariat public privé,,,
+++,Q23900401,Rigobert Roger Andely,,"Ministre des Finances, du Budget et du Portefeuille public",,,
+++,Q106366290,Honoré Sayi,,Ministre de l’Énergie et de l’Hydraulique,,,
+++,,Jean-Luc Moutou,,"Ministre de l’Enseignement pré-scolaire primaire, secondaire et de l’Alphabétisation",,,
+++,,Edith Delphine Emmanuelle,,Ministre de l’Enseignement supérieur de la recherche scientifique et de l’innovation technologique,,,
+++,,Ghislain Thierry Manguessa Ebome,,"Ministre de l’Enseignement technique et professionnel, de la Formation qualifiante et de l’Emploi",,,
+++,,Paul Valentin Ngobo,,"Ministre de l’Agriculture, de l’Élevage et de la Pêche",,,
+++,,Irène Mboukou,,Ministre des Affaires sociale et de l’Action humanitaire,,,
+++,,Jean Rosaire Ibara,,Ministre du contrôle d'État chargé de la qualité du service public et de la lutte contre les antivaleurs,,,
+++,,Ludovic Ngatsé,,"Ministre délégué auprès du ministre des Finances et du Budget, chargé du Budget",,,
+++,,Guy Georges Mbaka,,"Ministre de l’Administration du territoire, de la décentralisation et du développement local",,,
