item,itemLabel,party,partyLabel,area,areaLabel,startDate,endDate,gender
,AMBETO BLAISE,Q1785816,PCT,,NGOKO,,,male
,AMPION PHILIPPE,Q1785816,PCT,,MBON,,,male
,ANIABA PIERRE SYMPHORIEN,Q1785816,PCT,,NGBALA,,,male
,AYESSA FIRMIN,Q1785816,PCT,,MAKOUA,,,male
,BADIABIO JOSEPH,Q3326534,MCDDI,,MAKELEKELE2,,,male
,BASSOUAMA PIERRE,,PRL,,MAKELEKELE3,,,male
,BATHEAS JEAN MARIE,Q1785816,PCT,,EPENA2,,,male
,BATI BENOIT,Q327591,Independent,,TSIAKI,,,male
,BIDIMBOU MICHEL,Q1785816,PCT,,KAYES,,,male
,BININGA AIME ANGE WILFRID,Q1785816,PCT,,EWO2,,,male
,BIZONZI NOUNY GABRIEL,Q327591,Independent,,MADIBOU,,,male
,BONGO BERNARD CLAUDE AUGE,Q5136089,CLUB 2002 PUR,,OUENZE2,,,male
,BONGO MAVOUNGOU RAYMOND,Q1785816,PCT,,NZAMBI,,,male
,BOPOUMBOU JEAN MARIE,Q1785816,PCT,,MOSSAKA2,,,male
,BOUITY VIAUDO ROLAND,Q4677129,MAR,,LOANGO,,,male
,BOUNKOULOU BENJAMIN,Q17075184,UR,,BOKO-SONGHO,,,male
,BOUYA JEAN JACQUES,Q1785816,PCT,,TCHIKAPIKA,,,male
,COUSSOUD MAVOUNGOU AIME MARTIN PARFAIT,Q1785816,PCT,,MVOUTI2,,,male
,DJOMBO HENRI,Q1785816,PCT,,ENYELLE,,,male
,EBOUREFE EDITH,Q1785816,PCT,,OUENZE3,,,female
,ELENGA FAUSTIN,Q1785816,PCT,,TALANGAI4,,,male
,EPOLA JULIEN,Q1785816,PCT,,ETOUMBI,,,male
,ETEKA YEMETH VALERE,Q1785816,PCT,,Circonscription de,,,male
,FILA NEE LEMINA ISABELLE MARTHE,Q5122579,RC,,BACONGO1,,,female
,FOLLO ISAAC RAYMOND,Q1785816,PCT,,NGOYO,,,male
,FOUEMINA TANGUY JASTEL,Q5122579,RC,,BACONGO2,,,female
,FOUTOU GUILLAUME,Q3550401,UPADS,,DOLISIE1,,,male
,GAKOSSO JEAN CLAUDE,Q1785816,PCT,,ONGOGNI,,,male
,GANTSIO NGAMBOU GUY TIMOTHEE,Q1785816,PCT,,GAMBOMA2,,,male
,GONGARAD NKOU AUGUSTE CELESTIN,Q1785816,PCT,,NGO,,,male
,IBARA NDELI FELIX,Q1785816,PCT,,OLLOMBO2,,,male
,IBEYABO ALPHONSINE,Q1785816,PCT,,LUMUMBA2,,,male
,IBOYI Jean Claude,Q327591,Independent,,TALANGAI,,,male
,IBRAHIM DIAWARA,Q1785816,PCT,,PIKOUNDA,,,male
,IKIA SASSOU NGUESSO CLAUDIA,Q1785816,PCT,,TALANGAI5,,,female
,INGANI Hyacinthe,Q1785816,PCT,,TALANGAI,,,male
,ITOUA BRUNO JEAN RICHARD,Q1785816,PCT,,OLLMOBO1,,,male
,KALLA MARCEL,Q1785816,PCT,,MABOMBO,,,male
,KIDZIE HILAIRE EPIPAHNE,Q1785816,PCT,,DJIRI2,,,male
,KIGNOUMBI KIA MBOUNGOU JOSEPH,Q3550401,UPADS,,SIBITI,,,male
,KILOEMBA AMEDEE,Q17075186,RDPS,,MVOUTI1,,,male
,KITOMBO NGOKO ALPHONSE,Q1785816,PCT,,TIE-TIE2,,,male
,KOLLO LAURENT,Q1785816,PCT,,MFOUATI,,,male
,KOUA ALPHONSE,Q327591,Independent,,MOUNGOUNDOU-SUD,,,male
,KOUMBA JUSTIN,Q1785816,PCT,,BANDA,,,male
,KOURISSA JEAN DE DIEU,Q1785816,PCT,,POTO-POTO1,,,male
,LENGOMA DIEUDONNE,Q1785816,PCT,,MOUNGOUNDOU-NORD,,,male
,LEOUOBO MARCEL,Q1785816,PCT,,MBINDA,,,male
,LEYINDA ALAIN PASCAL,Q3550401,UPADS,,MAYOKO,,,male
,LOEMBET DELPHIN,Q17075186,RDPS,,MONGO MPOUKOU,,,male
,LOEMBET NEE NITOU-LANDOU VERONIQUE,Q4677129,MAR,,HINDA,,,female
,LONGOBE GABRIEL,Q1785816,PCT,,LOUKOLELA,,,male
,LOUELA BOUMBA JEAN,Q327591,Independent,,LONDELA-KAYES,,,male
,LOUSSAKOU FRANCOIS,Q5122579,RC,,MAKELEKELE,,,male
,MABIALA ALEXANDRE,Q1785816,PCT,,KAKAMOEKA,,,male
,MABIALA PIERRE,Q1785816,PCT,,MAKABANA,,,male
,MABONZO ANDRE EMILE,Q1785816,PCT,,NKAYI,,,male
,MAHOUNGOU MASILA YVES BERNARD,Q1785816,PCT,,KIMONGO,,,male
,MALANDA JEAN JACQUES,Q327591,Independent,,OUENZE4,,,male
,MALONGA PHILIBERT,Q3326534,MCDDI,,MFILOU1,,,male
,MANGONDO GERRY GERARD,Q327591,Independent,,BOUANELA,,,male
,MANIA VENANCE,Q1785816,PCT,,DONGOU,,,male
,MAVOUNGOU MAKAYA JEAN BAPTISTE,Q17075186,RDPS,,TCHIAMBA NZASSI,,,male
,MAVOUNGOU MAURICE,Q4677129,MAR,,LUMUMBA3,,,male
,MAVOUNGOU ZINGA MABIO,Q17075186,RDPS,,LOANDJILI1,,,male
,MAVOUNGOU-NGOT JEAN MICHEL,Q1785816,PCT,,MOUTAMBA,,,male
,MBOULOU RAYMOND ZEPHIRIN,Q1785816,PCT,,MPOUYA,,,male
,MBOUMA ALBERT,Q1785816,PCT,,MOKEKO,,,male
,MFOUTOU SIMON,Q1785816,PCT,,MAYEYE,,,male
,MIAKASSISSA DAMIEN,Q1785816,PCT,,MOUNGALI2,,,male
,MILANDOU CLAUDE ABRAHAM,Q1785816,PCT,,LOANDJILI2,,,male
,MOKA ALAIN,Q1785816,PCT,,IMPFONDO,,,male
,MOKOKO LEON RAPHAEL,Q1785816,PCT,,MOSSAKA1,,,male
,MOUAGNI AIME HYDEVERT,,CPR,,MOUNGALI1,,,male
,MOUDOUDOU PLACIDE,Q1785816,PCT,,MADINGOU,,,male
,MOUELE SERGE HUBERT,Q1785816,PCT,,MBAMA,,,male
,MOUNGALLAT THIERRY LEZIN,Q1785816,PCT,,SIBITI2,,,male
,MUNARI NEE MABONDZO CLAUDINE,,MUST,,MOUYONDZI,,,female
,NDINGA ALEXIS,Q327591,Independent,,LUMUMBA1,,,male
,NDINGA MAKANDA ACCEL ARNAUD,Q1785816,PCT,,OUESSO,,,male
,NDOUANE DAMBERT RENE,Q1785816,PCT,,SEMBE,,,male
,NGOKANA DENIS AUGUSTE MARIE,Q1785816,PCT,,BOUNDJI,,,male
,NGOLO Pierre,Q1785816,PCT,,OUENZE,,,male
,NGOMA MBOUNGOU ULRICH,,MUST,,YAMBA,,,male
,NGOUBILI CHARLES DAVID,Q1785816,PCT,,ZANAGA,,,male
,NGOUELONDELE HUGUES,Q1785816,PCT,,GAMBOMA1,,,male
,NGOUONIMBA JOSUE RODRIGUE,Q1785816,PCT,,DJAMBALA,,,male
,NGUIMBI PIERRE MICHEL,Q1785816,PCT,,LOUVAKOU,,,male
,NIANGA ELENGA ANDRE,Q1785816,PCT,,ILE MBAMOU,,,male
,NKODIA KYND GAETAN,Q1785816,PCT,,TIE-TIE1,,,male
,NSONDE JEAN MARIE,Q1785816,PCT,,MFILOU2,,,male
,NZENGUI MOMBO HANDEL LAURY,Q327591,Independent,,NYANGA,,,male
,OBIE THIERRY,Q1785816,PCT,,KELLE,,,male
,ODZOCKI SERGE MICHEL,Q1785816,PCT,,EWO1,,,male
,OKOMBI SALISSA ANDRE,Q1785816,PCT,,LEKANA,,,male
,OKOULA ROGER EDOUARD,Q1785816,PCT,,NTOKOU,,,male
,OLLINGO ONIANGUE JEAN CLAUDE,Q1785816,PCT,,POTO-POTO3,,,male
,ONDONGO GILBERT,Q1785816,PCT,,OWANDO1,,,male
,ONDZE NEE NGAMBOLO B.,Q1785816,PCT,,MAKOTIMPOKO,,,male
,OPIMBAT CHARLOTTE,Q1785816,PCT,,POTO-POTO2,,,female
,OPIMBAT LEON ALFRED,Q327591,Independent,,Circonscription de,,,male
,OSSEBI HENRI,Q1785816,PCT,,ABALA,,,male
,OSSIALA SYLVESTRE,Q1785816,PCT,,TALANGAI3,,,male
,OUOSSO EMILE,Q1785816,PCT,,YAYA,,,male
,OVAGA JEAN DANIEL,Q1785816,PCT,,OKOYO,,,male
,OWASSA-YAUCKA ABEL JOEL,Q1785816,PCT,,OWANDO2,,,male
,PANDOU ANICET WILFRID,Q327591,Independent,,MAKELEKELE4,,,male
,SABAYE FERDINAND,Q327591,Independent,,BETOU,,,male
,SASSOU NGUESSO DENIS CHRISTEL,Q1785816,PCT,,OYO,,,male
,SAYI HONORE,Q3550401,UPADS,,DOLISIE2,,,male
,SIBALY JEAN,Q1785816,PCT,,KINGOUE,,,male
,SOUSSA LOUIS,Q1785816,PCT,,ALLEMBE,,,male
,TCHIGNOUMBA BOUMBA PAUL GILBERT,Q327591,Independent,,MVOU-MVOU2,,,male
,TENGO LAURENT,Q4677129,MAR,,MADINGO-KAYES,,,male
,THYSTHERE TCHICAYA JEAN MARC,Q17075186,RDPS,,Circonscription de,,,male
,TIELE-GAMBIA OLOU ANTOINETTE,Q1785816,PCT,,DJIRI1,,,female
,TONO MARIE LOUISE,Q1785816,PCT,,EPENA1,,,female
,TSALABIENDZE JOSEPH,Q327591,Independent,,MOSSENDJO,,,male
,TSATY MABIALA PASCAL,Q3550401,UPADS,,LOUDIMA,,,male
,TSEKE MOUKILA JEAN,Q1785816,PCT,,KOMONO,,,male
,TSOUMOU MOUKASSA ADRIEN,Q3550401,UPADS,,BAMBAMA,,,male
,ZONIABA AYIMESSONE HENRI,Q1785816,PCT,,SOUANKE,,,male
